path	bytes	lines	extension	test_code
src/config/mongo_index_plan.rs	17597	509	.rs	0
src/config/mongo_store.rs	625881	13509	.rs	0
src/config/pool_config.rs	20190	467	.rs	0
src/config/public_env_inventory.rs	20119	490	.rs	0
src/config/types.rs	401344	9399	.rs	0
src/config/validation_pipeline.rs	35215	930	.rs	0
src/config_delta.rs	25845	726	.rs	0
src/config_sources/k8s/core.rs	76423	2212	.rs	0
src/config_sources/k8s/gateway_api.rs	276533	7714	.rs	0
src/config_sources/k8s/istio.rs	648364	16997	.rs	0
src/config_sources/k8s/mesh_config.rs	17435	519	.rs	0
src/config_sources/k8s/mod.rs	110311	2823	.rs	0
src/config_sources/mod.rs	231	7	.rs	0
src/connection_pool.rs	18111	447	.rs	0
src/consumer_index.rs	29551	676	.rs	0
src/date_cache.rs	2975	82	.rs	0
src/dns/mod.rs	126213	2943	.rs	0
src/dtls/mod.rs	89077	2120	.rs	0
src/ebpf/bpf_metrics.rs	11012	266	.rs	0
src/ebpf/cgroup.rs	11262	307	.rs	0
src/ebpf/event_consumer.rs	39540	906	.rs	0
src/ebpf/kernel_probe.rs	7540	223	.rs	0
src/ebpf/loader.rs	38216	930	.rs	0
src/ebpf/maps.rs	24192	636	.rs	0
src/ebpf/mod.rs	49386	1267	.rs	0
src/ebpf/orig_dst_bridge.rs	16875	387	.rs	0
src/ebpf/pod_watcher.rs	6854	213	.rs	0
src/ebpf/veth.rs	17597	555	.rs	0
src/grpc/auth.rs	8315	219	.rs	0
src/grpc/configsync_lifecycle.rs	41904	1015	.rs	0
src/grpc/cp_server.rs	127572	3196	.rs	0
src/grpc/dp_client.rs	123443	2765	.rs	0
src/grpc/mesh_registry.rs	6183	186	.rs	0
src/grpc/mesh_server.rs	38864	1028	.rs	0
src/grpc/mod.rs	631	20	.rs	0
src/health_check.rs	96111	2236	.rs	0
src/http3/client.rs	170799	4007	.rs	0
src/http3/config.rs	8953	216	.rs	0
src/http3/cross_protocol.rs	396481	9397	.rs	0
src/http3/mod.rs	187	8	.rs	0
src/http3/server.rs	596070	13559	.rs	0
